,Unnamed: 0,project_value,nlp_x,nlp_y,cluster,permit_id
0,0,26818.668706962515,0.3905339857429368,-0.1276931006832827,0,R2018-00000
1,1,221995.6300072833,0.1885611676764691,0.1159124370311024,1,R2021-00001
2,2,119794.94190020506,0.3731326006190823,-0.0609669102185512,0,R2022-00002
3,3,60961.19529411765,0.390556281897767,0.4164073516848586,3,R2017-00003
4,4,58828.84195193007,0.2727427086419813,0.0884369916068665,0,R2021-00004
5,5,11660.290742157616,0.3503279821792073,-0.0050081457833181,0,R2018-00005
6,6,679851.3011152416,0.3008099350666209,0.1066721570661453,2,R2020-00006
7,7,151591.51193633952,0.2660159931139506,0.5326512321400035,3,R2023-00007
8,8,200000.0,0.3385143451748285,-0.0178460233458582,0,R2024-00008
9,9,5856.941176470588,0.385644281524274,-0.0387288810407282,0,R2017-00009
10,10,5856.941176470588,0.4176692621532499,-0.0754013955523827,0,R2017-00010
11,11,9911.247130833974,0.4658387897187228,-0.0576261123809331,0,R2018-00011
12,12,101600.0,0.3677202337766364,-0.082324178134297,0,R2017-00012
13,13,41667.8058783322,0.2453139853427857,0.098966342533458,1,R2022-00013
14,14,160000.0,0.3422306142983041,0.4984327074838298,3,R2024-00014
15,15,75000.0,0.4019266841461718,-0.2058947319500453,0,R2024-00015
16,16,39865.470852017934,0.4207269502782403,0.0788677459429381,0,R2019-00016
17,17,61048.79825200291,0.3566501004893591,0.1802230690574708,0,R2021-00017
18,18,34170.40358744394,0.3303788620754712,-0.1171199990298138,0,R2019-00018
19,19,32859.479553903344,0.2640740347217837,0.0135433708783483,0,R2020-00019
20,20,13098.654708520178,0.3252280800879065,-0.1372828742067534,0,R2019-00020
21,21,332993.44501092494,0.2684415591886484,0.1069661578935656,2,R2021-00021
22,22,16649.67225054625,0.098854460630275,0.0881839517568583,1,R2021-00022
23,23,180000.0,0.0650503243066533,0.0076695393957139,1,R2024-00023
24,24,69961.74445294568,0.4482768426840463,0.0960571632542148,0,R2018-00024
25,25,195317.84005468216,0.3357744075127286,0.4615471689214094,3,R2022-00025
26,26,35692.19330855019,0.3222165491842951,0.0206730326726137,0,R2020-00026
27,27,94997.3474801061,0.2558129613212245,0.2556968546590143,3,R2023-00027
28,28,277494.5375091041,0.293997104530215,-0.0402238080344706,0,R2021-00028
29,29,55498.90750182082,0.1983903389860732,0.0886224672532206,0,R2021-00029
30,30,55498.90750182082,0.15058685148338,0.0894465451227508,1,R2021-00030
31,31,55498.90750182082,0.1693789643771292,0.0583388274567859,1,R2021-00031
32,32,34980.87222647284,0.3924963112424042,0.0175914345270969,0,R2018-00032
33,33,277494.5375091041,0.18365915246207,0.0701250567642808,1,R2021-00033
34,34,56654.2750929368,0.1044479576758144,0.0331231773700028,1,R2020-00034
35,35,84981.4126394052,0.1292798961113291,0.0608545844423574,1,R2020-00035
36,36,56950.67264573991,0.3014554745137852,0.1281332214852528,0,R2019-00036
37,37,84981.4126394052,0.1120064641109516,0.0295861188686271,1,R2020-00037
38,38,23487.529411764703,0.1477623010836296,0.0461430333607105,1,R2017-00038
39,39,15150.35294117647,0.292215134801658,0.0589181297134377,0,R2017-00039
40,40,151591.51193633952,0.2893160311603411,0.3516260356378031,3,R2023-00040
41,41,104942.61667941854,0.4061403228800748,0.0427060792580441,0,R2018-00041
42,42,194246.17625637288,0.328335400802295,0.0272863840513198,0,R2021-00042
43,43,349643.1172614712,0.2693143300724758,0.2973431430311165,2,R2021-00043
44,44,243613.38289962825,0.3459519122677242,0.1846475856575487,1,R2020-00044
45,45,38849.23525127458,0.4844851423500781,-0.0669567900630811,0,R2021-00045
46,46,55498.90750182082,0.2006131759914806,0.078576373870129,0,R2021-00046
47,47,52084.75734791524,0.1751224220614786,0.0816130517095621,1,R2022-00047
48,48,84981.4126394052,0.1320562524260676,0.0278740608041037,1,R2020-00048
49,49,303167.559296098,0.2514496364827459,0.5478435903503351,3,R2018-00049
50,50,46876.28161312372,0.2843159873981568,0.0998278138333853,1,R2022-00050
51,51,166496.72250546247,0.4531502594219082,-0.0638578856827587,0,R2021-00051
52,52,102511.21076233184,0.4337616375585807,-0.0541801359063181,0,R2019-00052
53,53,125505.88235294116,0.368827293218523,0.4053557439147349,3,R2017-00053
54,54,25000.0,0.1777018379432088,-0.0801971505541254,0,R2024-00054
55,55,75795.75596816976,0.1367092663878151,0.0211121264927264,1,R2023-00055
56,56,75000.0,0.2450014666133126,-0.1889078361248905,0,R2024-00056
57,57,19722.352941176472,0.2494729784583212,-0.0363601210622109,0,R2017-00057
58,58,4004.2352941176473,0.1921645438450765,0.0487436054203215,1,R2017-00058
59,59,75000.0,0.3408866199280523,0.1278979393173678,1,R2024-00059
60,60,210000.0,0.497676707184441,-0.4037060403283553,5,R2024-00060
61,61,166496.72250546247,0.4334006044517551,-0.1331701175163339,0,R2021-00061
62,62,142376.68161434977,0.4496643472252645,-0.1461854811491099,0,R2019-00062
63,63,339925.6505576208,0.4574852440405288,0.0798075376897433,1,R2020-00063
64,64,99807.0588235294,0.393438193911301,0.1064877501168122,0,R2017-00064
65,65,404244.0318302387,0.5586854892871276,-0.5485444782752502,5,R2023-00065
66,66,101600.0,0.51470900604232,-0.3184369089799678,0,R2017-00066
67,67,101600.0,0.2520779911617789,0.105351720937475,0,R2017-00067
68,68,142376.68161434977,0.4609027102075259,-0.0342998540601226,0,R2019-00068
69,69,131482.35294117648,0.3431002280685709,0.0816891724447249,0,R2017-00069
70,70,182242.1524663677,0.4418810287401029,-0.0085861608367801,0,R2019-00070
71,71,71717.64705882352,0.3893351535601935,-0.2025115337596328,0,R2017-00071
72,72,126326.2599469496,0.5586854892871276,-0.5485444782752502,5,R2023-00072
73,73,49949.016751638745,0.3068068682654348,-0.0539456994829249,0,R2021-00073
74,74,85901.85676392572,0.0723940202317534,0.0624250384658011,1,R2023-00074
75,75,59764.705882352944,0.2900761881294638,0.1396680045294581,1,R2017-00075
76,76,161364.70588235295,0.3725706343834832,-0.1048187457360945,0,R2017-00076
77,77,39865.470852017934,0.3171280986515237,-0.0640750442719492,0,R2019-00077
78,78,155396.9410050983,0.4080991849912616,-0.0215382797383811,0,R2021-00078
79,79,11952.94117647059,0.1899707758733672,0.1848098325612651,1,R2017-00079
80,80,45560.53811659192,0.2991623415981703,-0.100370671166699,0,R2019-00080
81,81,2390.5882352941176,0.3251211520706208,-0.0357999372040865,0,R2017-00081
82,82,937525.6322624744,0.2717359228497245,0.0244458685058513,2,R2022-00082
83,83,22661.71003717472,0.3887489843402006,-0.0563640460728179,0,R2020-00083
84,84,55498.90750182082,0.2603360330992819,0.3022556094474437,1,R2021-00084
85,85,7377.453580901856,0.1497169507872534,0.0771076911255876,1,R2023-00085
86,86,251011.76470588235,0.3392486060557461,0.4085379481173271,3,R2017-00086
87,87,116602.90742157616,0.184922096822778,0.0774809170153782,1,R2018-00087
88,88,4995.134117647059,0.1969947078104672,0.0842639063923564,1,R2017-00088
89,89,185270.58823529413,0.1597175237280255,0.0249552627443847,1,R2017-00089
90,90,67985.13011152417,0.4506275240671712,0.042908540182187,0,R2020-00090
91,91,105447.92425345955,0.3484288023654197,0.1866648822834928,0,R2021-00091
92,92,2266.171003717472,0.2060983108650198,0.4541762644734363,3,R2020-00092
93,93,4562.437647058824,0.3194108672138092,-0.0341118471881559,0,R2017-00093
94,94,5378.823529411765,0.2115405660179937,0.2238536547785787,1,R2017-00094
95,95,15625.427204374571,0.3013599111063892,-0.0693342124251764,0,R2022-00095
96,96,476905.8913542465,0.2338065486316207,0.1274865033948981,2,R2018-00096
97,97,71717.64705882352,0.222959197016142,0.2856286940806814,3,R2017-00097
98,98,5830.145371078807,0.3264025493364342,0.1072452457569411,0,R2018-00098
99,99,83248.36125273124,0.4901590345884792,0.0388233285517919,0,R2021-00099
100,100,46641.16296863046,0.4185460924685298,-0.0922078697379192,0,R2018-00100
101,101,151583.779648049,0.4180794144132671,0.0401862441917783,0,R2018-00101
102,102,18527.058823529413,0.3430288991331335,-0.0145448548630012,0,R2017-00102
103,103,124310.58823529413,0.4719142131649663,0.1337062125992328,0,R2017-00103
104,104,71717.64705882352,0.1259740733962629,0.160763221250252,1,R2017-00104
105,105,54672.64573991031,0.3684178806293581,0.0709317526539652,0,R2019-00105
106,106,17085.20179372197,0.2849163570044414,0.5249232168175046,3,R2019-00106
107,107,11390.13452914798,0.3548938450163689,-0.0905653279392018,0,R2019-00107
108,108,90646.84014869887,0.4193659265313687,0.075036559395558,0,R2020-00108
109,109,170852.01793721973,0.296416726630233,0.0759467905905297,0,R2019-00109
110,110,17490.43611323642,0.4827585920384485,-0.2358006396305023,0,R2018-00110
111,111,107576.4705882353,0.3429797122472636,0.0848434676635937,0,R2017-00111
112,112,9681.614349775784,0.2759458923935833,-0.0271273839027955,0,R2019-00112
113,113,15625.427204374571,0.3475232133462785,-0.0213136162310158,0,R2022-00113
114,114,15625.427204374571,0.3503303410013148,-0.0257895805901904,0,R2022-00114
115,115,18224.21524663677,0.3577553205309286,0.5698915840472147,3,R2019-00115
116,116,5549.890750182082,0.2121057687369628,-0.0859816700454006,0,R2021-00116
117,117,11084.377757847533,0.2300563831058996,-0.0297446214146337,1,R2019-00117
118,118,20000.0,0.3784060102933165,-0.3160763102307648,5,R2024-00118
119,119,15625.427204374571,0.3545563721003695,-0.0106317834405871,0,R2022-00119
120,120,5208.475734791525,0.3103175828403758,-0.0914172771854553,0,R2022-00120
121,121,11099.781500364164,0.3763899854723507,-0.1046307094658018,0,R2021-00121
122,122,11099.781500364164,0.3763899854723507,-0.1046307094658018,0,R2021-00122
123,123,56654.2750929368,0.347647172804686,0.053489708422074,0,R2020-00123
124,124,51255.60538116592,0.3154952243988001,0.0153465445109738,0,R2019-00124
125,125,62319.70260223048,0.3543328099273125,-0.0527565861737143,0,R2020-00125
126,126,113308.5501858736,0.2704377526946411,-0.1131815998515913,0,R2020-00126
127,127,21663.81946188341,0.2011915993278457,-0.0224922196587567,1,R2019-00127
128,128,455605.3811659192,0.361988922389493,0.037366008864951,2,R2019-00128
129,129,113901.3452914798,0.2504294872847895,0.0088955406992893,0,R2019-00129
130,130,22780.26905829596,0.4958392173783473,-0.1116631768571753,0,R2019-00130
131,131,11099.781500364164,0.3763899854723507,-0.1046307094658018,0,R2021-00131
132,132,60636.60477453581,0.1188268518359825,0.1231687648389803,1,R2023-00132
133,133,70000.0,0.1811676772619149,0.3024508115831277,3,R2025-00133
134,134,20000.0,0.3207186940445808,-0.1105243067412008,0,R2025-00134
135,135,97919.34381408064,0.3054609118137061,0.4543127415169542,1,R2022-00135
136,136,21811.89591078067,0.2855114721928581,0.3485352136326576,3,R2020-00136
137,137,17490.43611323642,0.2911963256505275,0.6626379515369105,3,R2018-00137
138,138,4781.176470588235,0.2018841779717851,0.2218429992208475,1,R2017-00138
139,139,6000.0,0.1987634876377567,0.3754170620363118,3,R2024-00139
140,140,6250.170881749829,0.2543768899789614,-0.1321757141769495,0,R2022-00140
141,141,91121.07623318383,0.3250732018725191,0.3248834261884737,3,R2019-00141
142,142,52084.75734791524,0.4833860901010668,-0.1859458868784579,0,R2022-00142
143,143,52084.75734791524,0.3076888317867591,0.0871116973317968,0,R2022-00143
144,144,163244.07039020662,0.4185138299144036,0.2079223175113663,1,R2018-00144
145,145,2278.026905829596,0.1582071349167531,0.0932754109524154,1,R2019-00145
146,146,84865.88235294117,0.242893808300109,0.176116824617121,1,R2017-00146
147,147,349808.72226472845,0.3686894055050113,0.001703960566297,0,R2018-00147
148,148,7171.764705882353,0.1307981190540504,0.090665948657549,1,R2017-00148
149,149,23905.88235294118,0.243217473800051,0.0658757826136332,1,R2017-00149
150,150,2390.5882352941176,0.2829476516229667,-0.0917888560761741,0,R2017-00150
151,151,3498.0872226472848,0.4044502830999881,-0.0954740441662071,0,R2018-00151
152,152,15159.151193633952,0.3191939511275098,-0.0115085193506825,1,R2023-00152
153,153,22199.56300072833,0.3184542083684704,0.1218281694351682,1,R2021-00153
154,154,5378.823529411765,0.1273648160389605,-0.0083127694013616,1,R2017-00154
155,155,5208.475734791525,0.253077563735082,0.2177240556852847,1,R2022-00155
156,156,53562.33421750663,0.5147074810392294,-0.4112742596114948,5,R2023-00156
157,157,90000.0,0.497676707184441,-0.4037060403283553,5,R2024-00157
158,158,71717.64705882352,0.2658979990887401,0.0206400754384072,0,R2017-00158
159,159,217543.5294117647,0.3730883118442582,0.190644818719679,1,R2017-00159
160,160,73650.55762081784,0.4014699131119797,0.0283179510563014,0,R2020-00160
161,161,227802.6905829596,0.427154158972283,-0.0875366673157184,0,R2019-00161
162,162,5596.939556235655,0.3626542894320981,0.5264295732443768,3,R2018-00162
163,163,30775.0053557766,0.2443555953359525,0.1037179560731365,0,R2018-00163
164,164,18656.465187452184,0.2236005707029494,-0.0294779760314204,0,R2018-00164
165,165,39302.46588235294,0.3553272203785215,-0.1094876783087697,0,R2017-00165
166,166,11952.94117647059,0.2593553964469173,0.1687658196920415,1,R2017-00166
167,167,25058.29596412556,0.2411000955391517,0.5616981514163433,3,R2019-00167
168,168,9112.107623318385,0.420414172413668,-0.0542983514470709,0,R2019-00168
169,169,69631.03448275862,0.2470768038871745,0.0875963821279544,1,R2023-00169
170,170,17085.20179372197,0.4468107281100051,-0.0071638663957238,0,R2019-00170
